index,inchikey,standard_smiles,scaffold,xhash,group_size
0,AAIWEHICLXWDIS-UHFFFAOYSA-N,COc1cc(OC)cc(-c2cc3cnc(N(CCCO)C(C)=O)cc3nc2NC(=O)NC(C)(C)C)c1,c1ccc(-c2cnc3ccncc3c2)cc1,0826733e2a063baf0aed7dcb8f8887e8bc35804b,1
1,AAVVJYRIFZWOQJ-UHFFFAOYSA-N,Cc1cc(C)cc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)c1,c1ccc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)cc1,6c5e3adcefd7412ee8ffedb2127bf543b407f10e,1
2,ABMSAGZBJYEZGT-UHFFFAOYSA-N,O=C1NCc2c3c(c4[nH]c5ccccc5c4c21)Cc1ccccc1-3,O=C1NCc2c3c(c4[nH]c5ccccc5c4c21)Cc1ccccc1-3,eb8e201399a2be135fddac8ff5dccdef27391751,1
3,ABQZBBQXRQDXEI-UHFFFAOYSA-N,Cc1cc(C)c2oc(Nc3ccc(-c4nsc5ncnc(N)c45)cc3)nc2c1,c1ccc2oc(Nc3ccc(-c4nsc5ncncc45)cc3)nc2c1,e425f1becfcc66730b7f2bb02fbd77677d22c4cb,1
4,ACOWAIUKUFGHLY-UHFFFAOYSA-N,COCCc1sc2ncnc(N)c2c1-c1ccc(NC(=O)Nc2cccc(C)c2)cc1,O=C(Nc1ccccc1)Nc1ccc(-c2csc3ncncc23)cc1,72864d88b89a56ab1633ad33c22bc368245acb7e,1
5,ADANYDBBSQBDMY-UHFFFAOYSA-N,O=C(Nc1ccc(Cl)cc1)c1ccccc1Cn1cc(-c2ccncc2)cn1,O=C(Nc1ccccc1)c1ccccc1Cn1cc(-c2ccncc2)cn1,3f9e234da142246e4fbded9e5c3f23094f98b95e,1
6,ADQQBOZGEKHJKG-UHFFFAOYSA-N,C=c1cc(C(=O)OCC)[nH]c1=Cc1c(O)[nH]c2ccccc12,C=c1cc[nH]c1=Cc1c[nH]c2ccccc12,6b030b8b0b741b971b9a368b25dc808337325b93,1
7,AFECIUCRUIZUKP-UHFFFAOYSA-N,CC(c1ccncc1)c1nnc(Nc2ccc(Cl)cc2)c2ccccc12,c1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,329f557d627fb12898831bd4b009f3553a2bed31,1
8,AFKKJZFFHJDMMZ-UHFFFAOYSA-N,COC(=O)c1cn2ncnc(Oc3ccc4[nH]c(C)cc4c3F)c2c1C,c1cc2c(Oc3ccc4[nH]ccc4c3)ncnn2c1,d180459b1aa5ab1f0b3b7e5aa535147e34391435,1
9,AFVGAHBUCVDPPI-UHFFFAOYSA-N,Nc1ncnc2c1c(-c1ccccc1)cn2-c1ccccc1,c1ccc(-c2cn(-c3ccccc3)c3ncncc23)cc1,78fa8bc2c419efb07e24d6b6b3f9feac8ddd1ff6,1
10,AGGJJUDCDYBLHH-UHFFFAOYSA-N,Cc1ccc(NC(=O)c2scnc2CCc2ccncc2)c(F)c1,O=C(Nc1ccccc1)c1scnc1CCc1ccncc1,8addc5cb9c820bde020fb80f0a325a64b6f7db09,1
11,AHDFVTJYNGXCEO-UHFFFAOYSA-N,CN1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(N(C)c4ccnc(Nc5ccc(CS(C)(=O)=O)cc5)n4)cc3)cc2)CC1,O=C(Nc1ccc(Nc2ccnc(Nc3ccccc3)n2)cc1)Nc1ccc(C(=O)N2CCNCC2)cc1,3a4b34035f9908a070461af01ff9b4fd439a2336,1
12,AHVALJRQHQNXRG-UHFFFAOYSA-N,O=C1OCC=c2c1c[nH]c2=Cc1c(O)[nH]c2ccc(F)cc12,O=C1OCC=c2c1c[nH]c2=Cc1c[nH]c2ccccc12,3a228f82d5baff5e946130c382a95822da7b6c9f,1
13,AICMELCBVMDBIX-UHFFFAOYSA-N,COc1ccc(-c2oc3ncnc(N)c3c2-c2ccc(N(C)C)cc2)cc1,c1ccc(-c2oc3ncncc3c2-c2ccccc2)cc1,10f8a8141a19850b2a26dc9ad6405dde1c2f40ed,1
14,AIEHUMVISDRBPD-UHFFFAOYSA-N,CN(C)CCc1ccc(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)cc1,c1ccc(Nc2nccc(-c3c[nH]c4ccccc34)n2)cc1,fc65933be63cd997d0205ca5e95f75c2e9aaf5e8,1
15,AJDQTJYEJBYYOB-UHFFFAOYSA-N,Cc1cc(C)cc(Nc2nccc(-n3ccnc3N)n2)c1,c1ccc(Nc2nccc(-n3ccnc3)n2)cc1,4f107b247c39039e89b3ce0b5c21cc5f35e3f673,1
16,AJPCLLYRORCTIF-UHFFFAOYSA-N,C=c1c(CCC(=O)O)c[nH]c1=Cc1c(O)[nH]c2ccc(S(N)(=O)=O)cc12,C=c1cc[nH]c1=Cc1c[nH]c2ccccc12,adb8785bd7f2c6fa5018c6cf3778ae9f5702d784,1
17,AJZGSQPKBOEMBE-UHFFFAOYSA-N,Cn1cnc(NCc2ccncc2)c1-c1nnc(Nc2ccc(Br)cc2)o1,c1ccc(Nc2nnc(-c3[nH]cnc3NCc3ccncc3)o2)cc1,5ee045841c6b7891897d0a6d818278b3066df9e4,1
18,AKDWJKHIBCIRSA-UHFFFAOYSA-N,COc1nc(Nc2ccc3ncsc3c2)nc(NC(C)(C)c2ccccc2)n1,c1ccc(CNc2ncnc(Nc3ccc4ncsc4c3)n2)cc1,ad889edc013efbae122b57fe48f1fc3dab6f5031,1
19,AKYQOQRRFDHNEA-UHFFFAOYSA-N,Cc1cccc(NC(=O)N(Cc2ccc(-c3[nH]nc4c3Cc3cc(CN5CCN(C)CC5)ccc3-4)s2)C(C)C)c1,O=C(NCc1ccc(-c2[nH]nc3c2Cc2cc(CN4CCNCC4)ccc2-3)s1)Nc1ccccc1,07ad7f079d69f41e6aee12ae67a352c70f1ab82b,1
